Country,Indicator,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012
Albania,Researchers (FTE) - % Female,0,0,0,0,0,0,0,0,44.3,0,0,0,0
Albania,Researchers (HC) - % Female,0,0,0,0,0,0,0,0,44.3,0,0,0,0
Albania,Researchers (FTE) - Natural sciences %,0,0,0,0,0,0,0,0,16,0,0,0,0
Albania,Researchers (FTE) - Engineering and technology %,0,0,0,0,0,0,0,0,8.5,0,0,0,0
Albania,Researchers (FTE) - Medical and health sciences %,0,0,0,0,0,0,0,0,31.7,0,0,0,0
Albania,Researchers (FTE) - Agricultural sciences %,0,0,0,0,0,0,0,0,32.4,0,0,0,0
Albania,Researchers (FTE) - Social sciences %,0,0,0,0,0,0,0,0,2.8,0,0,0,0
Albania,Researchers (FTE) - Humanities %,0,0,0,0,0,0,0,0,8.6,0,0,0,0
Albania,Researchers (FTE) - Not specified fields %,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Natural sciences,0,0,0,0,0,0,0,0,48.3,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,0,0,0,0,0,0,0,0,24.6,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,0,0,0,0,0,0,0,0,53.4,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,0,0,0,0,0,0,0,0,31.5,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Social sciences,0,0,0,0,0,0,0,0,56.8,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Humanities,0,0,0,0,0,0,0,0,67.5,0,0,0,0
Albania,Female researchers as a percentage of total researchers (FTE) - Not specified fields,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - % Female,0,0,0,0,0,36.5,0,0,0,0,0,0,0
Algeria,Researchers (HC) - % Female,0,0,0,0,0,34.8,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Natural sciences %,0,0,0,0,0,21.6,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Engineering and technology %,0,0,0,0,0,43.2,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Medical and health sciences %,0,0,0,0,0,6.9,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Agricultural sciences %,0,0,0,0,0,9,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Social sciences %,0,0,0,0,0,8.5,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Humanities %,0,0,0,0,0,10.9,0,0,0,0,0,0,0
Algeria,Researchers (FTE) - Not specified fields %,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Natural sciences,0,0,0,0,0,44.3,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,0,0,0,0,0,32.4,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,0,0,0,0,0,46.4,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,0,0,0,0,0,41.5,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Social sciences,0,0,0,0,0,30,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Humanities,0,0,0,0,0,32.3,0,0,0,0,0,0,0
Algeria,Female researchers as a percentage of total researchers (FTE) - Not specified fields,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - % Female,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (HC) - % Female,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Natural sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Engineering and technology %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Medical and health sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Agricultural sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Social sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Humanities %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Researchers (FTE) - Not specified fields %,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Natural sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Social sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Female researchers as a percentage of total researchers (FTE) - Not specified fields,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - % Female,0,0,0,0,0,0,0,0,0,0,0,27.8,0
Angola,Researchers (HC) - % Female,0,0,0,0,0,0,0,0,0,0,0,27.1,0
Angola,Researchers (FTE) - Natural sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Engineering and technology %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Medical and health sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Agricultural sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Social sciences %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Humanities %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Researchers (FTE) - Not specified fields %,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Female researchers as a percentage of total researchers (FTE) - Natural sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,0,0,0,0,0,0,0,0,0,0,0,0,0
