Country,Indicator,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012
Albania,Category1,0,0,0,0,0,0,0,0,44.3,0,0,0,0
Albania,Category2,0,0,0,0,0,0,0,0,44.3,0,0,0,0
Albania,Category3,0,0,0,0,0,0,0,0,16,0,0,0,0
Albania,Category4,0,0,0,0,0,0,0,0,8.5,0,0,0,0
Albania,Category5,0,0,0,0,0,0,0,0,31.7,0,0,0,0
Albania,Category6,0,0,0,0,0,0,0,0,32.4,0,0,0,0
Albania,Category7,0,0,0,0,0,0,0,0,2.8,0,0,0,0
Albania,Category8,0,0,0,0,0,0,0,0,8.6,0,0,0,0
Albania,Category9,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Category10,0,0,0,0,0,0,0,0,48.3,0,0,0,0
Albania,Category11,0,0,0,0,0,0,0,0,24.6,0,0,0,0
Albania,Category12,0,0,0,0,0,0,0,0,53.4,0,0,0,0
Albania,Category13,0,0,0,0,0,0,0,0,31.5,0,0,0,0
Albania,Category14,0,0,0,0,0,0,0,0,56.8,0,0,0,0
Albania,Category15,0,0,0,0,0,0,0,0,67.5,0,0,0,0
Albania,Category16,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Category1,0,0,0,0,0,36.5,0,0,0,0,0,0,0
Algeria,Category2,0,0,0,0,0,34.8,0,0,0,0,0,0,0
Algeria,Category3,0,0,0,0,0,21.6,0,0,0,0,0,0,0
Algeria,Category4,0,0,0,0,0,43.2,0,0,0,0,0,0,0
Algeria,Category5,0,0,0,0,0,6.9,0,0,0,0,0,0,0
Algeria,Category6,0,0,0,0,0,9,0,0,0,0,0,0,0
Algeria,Category7,0,0,0,0,0,8.5,0,0,0,0,0,0,0
Algeria,Category8,0,0,0,0,0,10.9,0,0,0,0,0,0,0
Algeria,Category9,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Category10,0,0,0,0,0,44.3,0,0,0,0,0,0,0
Algeria,Category11,0,0,0,0,0,32.4,0,0,0,0,0,0,0
Algeria,Category12,0,0,0,0,0,46.4,0,0,0,0,0,0,0
Algeria,Category13,0,0,0,0,0,41.5,0,0,0,0,0,0,0
Algeria,Category14,0,0,0,0,0,30,0,0,0,0,0,0,0
Algeria,Category15,0,0,0,0,0,32.3,0,0,0,0,0,0,0
Algeria,Category16,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category2,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category3,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category4,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category5,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Category6,0,0,0,0,0,0,0,0,0,0,0,0,0
