location,time,average,high,low
260,20000101,25,40,10
260,20000102,37,50,20
260,20000103,61,70,40
260,20000104,38,70,10
260,20000105,40,60,30
260,20000106,52,60,30
260,20000107,48,60,20
260,20000108,43,60,20
260,20000109,15,30,10
260,20000110,18,30,10
260,20000111,40,50,30
260,20000112,54,70,50
260,20000113,42,60,30
260,20000114,20,30,10
260,20000115,27,40,10
260,20000116,26,40,10
260,20000117,47,70,30
260,20000118,62,90,30
260,20000119,29,40,20
260,20000120,38,60,20
260,20000121,37,50,10
260,20000122,40,60,30
260,20000123,33,60,10
260,20000124,17,40,10
260,20000125,31,50,20
260,20000126,33,40,20
260,20000127,54,70,40
260,20000128,71,100,50
260,20000129,94,110,70
260,20000130,63,90,40
260,20000131,73,100,30
260,20000201,69,80,60
260,20000202,47,60,30
260,20000203,38,50,30
260,20000204,64,80,40
260,20000205,49,60,40
260,20000206,46,70,30
260,20000207,68,90,40
260,20000208,73,90,50
260,20000209,63,80,30
260,20000210,58,90,30
260,20000211,39,60,20
260,20000212,58,90,40
260,20000213,43,60,20
260,20000214,37,50,10
260,20000215,35,40,30
260,20000216,54,80,30
260,20000217,44,80,30
260,20000218,48,70,30
260,20000219,46,70,30
260,20000220,23,40,0
260,20000221,28,40,10
260,20000222,21,40,10
260,20000223,28,50,10
260,20000224,46,60,20
260,20000225,34,50,10
260,20000226,27,40,10
260,20000227,55,80,30
260,20000228,67,100,50
260,20000229,69,100,40
260,20000301,43,60,30
260,20000302,68,110,20
260,20000303,69,120,30
260,20000304,43,60,30
260,20000305,35,50,30
260,20000306,65,80,50
260,20000307,63,90,50
260,20000308,73,90,60
260,20000309,65,90,30
260,20000310,30,50,10
260,20000311,53,80,20
260,20000312,20,40,10
260,20000313,28,40,10
260,20000314,50,70,30
260,20000315,48,60,30
260,20000316,33,50,20
260,20000317,34,50,20
260,20000318,48,70,20
260,20000319,30,40,10
260,20000320,15,30,0
260,20000321,10,20,0
260,20000322,15,30,10
260,20000323,26,50,0
260,20000324,27,40,20
260,20000325,25,50,0
260,20000326,28,40,10
260,20000327,35,60,10
260,20000328,47,60,20
260,20000329,59,70,40
260,20000330,36,60,10
260,20000331,13,20,0
260,20000401,13,30,0
260,20000402,39,50,30
260,20000403,40,50,20
260,20000404,48,70,20
260,20000405,61,80,30
260,20000406,33,50,10
260,20000407,20,40,0
260,20000408,18,40,0
260,20000409,54,80,30
260,20000410,42,60,20
260,20000411,23,50,10
260,20000412,53,70,30
260,20000413,53,90,30
260,20000414,31,50,20
260,20000415,49,90,30
260,20000416,47,90,20
260,20000417,52,80,30
260,20000418,45,60,30
260,20000419,30,50,10
260,20000420,40,70,20
260,20000421,35,60,10
260,20000422,27,50,10
