Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Albania,Researchers (FTE) - % Female,,,,,,,,,44.3,,,,
,Researchers (HC) - % Female,,,,,,,,,44.3,,,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,16,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,8.5,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,31.7,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,32.4,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,2.8,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,8.6,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,48.3,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,24.6,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,53.4,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,31.5,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,56.8,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,67.5,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Algeria,Researchers (FTE) - % Female,,,,,,36.5,,,,,,,
,Researchers (HC) - % Female,,,,,,34.8,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,,,21.6,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,43.2,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,6.9,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,9,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,8.5,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,10.9,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,44.3,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,32.4,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,46.4,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,41.5,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,30,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,32.3,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
American Samoa,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,,,,,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Angola,Researchers (FTE) - % Female,,,,,,,,,,,,27.8,
,Researchers (HC) - % Female,,,,,,,,,,,,27.1,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Argentina,Researchers (FTE) - % Female,47.1,47,48.3,48.5,48.8,48.4,48.7,49.8,49.8,50.5,51.2,51.6,51.6
