"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value"
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","1996","1996",90692
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","1998","1998",91583
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2000","2000",95621
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2002","2002",107209
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2004","2004",116194
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2006","2006",126702
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2008","2008",137489
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","1998","1998",31308
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2002","2002",38893
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2004","2004",42891
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2005","2005",47625
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2006","2006",49377
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2007","2007",53252
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2008","2008",58014
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2009","2009",56438
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2010","2010",59923
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2011","2011",61171
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2012","2012",64876
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2013","2013",65800
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1996","1996",42576
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1997","1997",44208
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1998","1998",46416
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1999","1999",49466
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2000","2000",53391
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2001","2001",55949
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2002","2002",52054
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2003","2003",52256
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2004","2004",52253
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2005","2005",53517
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2006","2006",55714
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2007","2007",57963
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2008","2008",58476
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2009","2009",59756
