"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2000","2000",43.1,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2001","2001",42.5,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2002","2002",45.8,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2003","2003",43.9,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2004","2004",38.3,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2005","2005",39.9,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2006","2006",40.2,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2007","2007",39.4,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2008","2008",41.5,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2009","2009",42.5,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2010","2010",40,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2011","2011",42.3,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","CZE","Czech Republic","2012","2012",34,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2006","2006",37.9,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2007","2007",38,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2008","2008",39.2,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2009","2009",40.9,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2010","2010",39.2,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2011","2011",38.6,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","HUN","Hungary","2012","2012",39,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","POL","Poland","2003","2003",46.6,,
"FRESP_FS_TFTE_AGSCI","Female researchers as a percentage of total researchers (FTE) - Agricultural sciences","POL","Poland","2004","2004",46.7,,
