"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2000","2000",42.4,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2001","2001",45.3,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2002","2002",40.1,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2003","2003",41.3,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2004","2004",40.6,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2005","2005",40.5,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2006","2006",40.3,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2007","2007",41.4,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2008","2008",39.3,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2009","2009",41.9,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2010","2010",43.9,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2011","2011",38.8,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","CZE","Czech Republic","2012","2012",43.9,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2003","2003",45.8,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2004","2004",45.8,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2005","2005",50.7,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2006","2006",46.4,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2007","2007",41.3,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2008","2008",61.1,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2010","2010",48.6,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2011","2011",48.5,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","POL","Poland","2012","2012",47.7,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2000","2000",53.4,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2001","2001",53.8,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2002","2002",53.2,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2003","2003",52.8,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2004","2004",53.2,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2005","2005",53.6,,
"FRESP_FS_TFTE_HUM","Female researchers as a percentage of total researchers (FTE) - Humanities","PRT","Portugal","2006","2006",54.2,,
