"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2000","2000",29.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2001","2001",27.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2002","2002",27.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2003","2003",26.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2004","2004",26,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2005","2005",26.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2006","2006",26.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2007","2007",27.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2008","2008",27.9,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2009","2009",28.5,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2010","2010",26.6,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2011","2011",27.8,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","CZE","Czech Republic","2012","2012",27,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2003","2003",38.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2004","2004",38.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2005","2005",38.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2006","2006",38.7,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2007","2007",40.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2008","2008",38.7,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2010","2010",37.7,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2011","2011",35.6,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","POL","Poland","2012","2012",36.3,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2000","2000",51.6,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2001","2001",52.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2002","2002",52.5,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2003","2003",52.8,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2004","2004",52,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2005","2005",51.3,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2006","2006",50,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2007","2007",49,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2008","2008",44.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2009","2009",44.6,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2010","2010",44.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2011","2011",43.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","PRT","Portugal","2012","2012",45.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2000","2000",35.7,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2001","2001",40.4,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2002","2002",40.1,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2003","2003",39.3,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2004","2004",36.7,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2005","2005",38.2,,
"FRESP_FS_TFTE_NATSCI","Female researchers as a percentage of total researchers (FTE) - Natural sciences","SVK","Slovakia","2006","2006",40,,
