"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2003","2003",45.4,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2004","2004",45.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2005","2005",48.1,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2006","2006",45.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2007","2007",41.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2008","2008",39,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2010","2010",46.4,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2011","2011",46.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","POL","Poland","2012","2012",46.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2000","2000",52.9,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2001","2001",53.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2002","2002",52.9,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2003","2003",52.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2004","2004",54.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2005","2005",56,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2006","2006",55.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2007","2007",54.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2008","2008",51.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2009","2009",56.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2010","2010",54,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2011","2011",52.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","PRT","Portugal","2012","2012",56.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2000","2000",51.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2001","2001",51.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2002","2002",51,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2003","2003",51.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2004","2004",50.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2005","2005",53.4,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2006","2006",52.8,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2007","2007",50.9,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2008","2008",53.8,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2009","2009",50.8,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2010","2010",53.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2011","2011",54.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","SVK","Slovakia","2012","2012",54.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2005","2005",38,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2006","2006",39.1,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2007","2007",39.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2008","2008",40.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2009","2009",40.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2010","2010",40.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2011","2011",42.1,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","TUR","Turkey","2012","2012",41.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","DZA","Algeria","2005","2005",30,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2000","2000",47.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2001","2001",52.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2002","2002",52.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2003","2003",47.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2004","2004",46.8,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2005","2005",48.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2006","2006",46.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2007","2007",49.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2008","2008",51.9,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2009","2009",53,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2010","2010",53,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2011","2011",51.9,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","BGR","Bulgaria","2012","2012",55.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","COL","Colombia","2010","2010",38.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","COL","Colombia","2011","2011",39.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","COL","Colombia","2012","2012",39.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2002","2002",50.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2003","2003",54.5,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2004","2004",51.1,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2005","2005",51.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2006","2006",51.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2007","2007",54.4,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2008","2008",56.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2009","2009",59.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2010","2010",58.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2011","2011",58,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","HRV","Croatia","2012","2012",58.4,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2000","2000",31.1,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2001","2001",34.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2002","2002",34.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2003","2003",33.6,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2004","2004",37.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2005","2005",39,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2006","2006",38.7,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2007","2007",40,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2008","2008",40,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2009","2009",43.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2010","2010",43.2,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2011","2011",43.3,,
"FRESP_FS_TFTE_SOSCI","Female researchers as a percentage of total researchers (FTE) - Social sciences","CYP","Cyprus","2012","2012",41.4,,
