"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2000","2000",32,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2001","2001",27.8,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2002","2002",28.5,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2003","2003",28.3,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2004","2004",29.6,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2005","2005",26.8,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2006","2006",27.3,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2007","2007",24.9,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2008","2008",25,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2009","2009",23.3,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2010","2010",24.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2011","2011",27.6,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","CZE","Czech Republic","2012","2012",29.6,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2000","2000",16.9,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2001","2001",17.3,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2002","2002",19.5,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2003","2003",20.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2004","2004",23.7,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2005","2005",24.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2006","2006",23.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2007","2007",25.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2008","2008",29.9,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2009","2009",28.9,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2010","2010",27.6,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2011","2011",26.8,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","HUN","Hungary","2012","2012",29.5,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2001","2001",20.1,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2002","2002",22.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2003","2003",22.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2004","2004",22.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2005","2005",20.5,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2006","2006",19.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2007","2007",20.1,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2008","2008",21.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2009","2009",22.2,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2010","2010",18.8,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2011","2011",20.7,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","POL","Poland","2012","2012",20.3,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2000","2000",27.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2001","2001",27.8,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2002","2002",27.6,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2003","2003",27.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2004","2004",27.4,,
"RESP_FS_TFTE_NATSCI","Researchers (FTE) - Natural sciences %","PRT","Portugal","2005","2005",27.4,,
