"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2000","2000",6.7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2001","2001",6.1,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2002","2002",6.5,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2003","2003",6.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2004","2004",5.7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2005","2005",6.1,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2006","2006",5.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2007","2007",5.7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2008","2008",5.1,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2009","2009",5,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2010","2010",5,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2011","2011",4.3,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","CZE","Czech Republic","2012","2012",3.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2000","2000",7.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2001","2001",7.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2002","2002",7.8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2003","2003",8.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2004","2004",7.9,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2005","2005",7.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2006","2006",7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2007","2007",7.2,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2008","2008",6.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2009","2009",6.5,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2010","2010",5.9,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2011","2011",6.1,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","HUN","Hungary","2012","2012",5.3,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2001","2001",9.7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2002","2002",8.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2003","2003",8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2004","2004",7.8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2005","2005",7.8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2006","2006",8.4,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2007","2007",7.3,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2008","2008",6.7,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2009","2009",5.4,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2010","2010",6.2,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2011","2011",5.8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","POL","Poland","2012","2012",5.6,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2000","2000",9.1,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2001","2001",8.4,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2002","2002",8.2,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2003","2003",8,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2004","2004",7.4,,
"RESP_FS_TFTE_AGSCI","Researchers (FTE) - Agricultural sciences %","PRT","Portugal","2005","2005",6.9,,
