"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2000","2000",44.8,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2001","2001",46.8,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2002","2002",45,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2003","2003",43.2,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2004","2004",43.5,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2005","2005",42.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2006","2006",43.2,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2007","2007",47.2,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2008","2008",48.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2009","2009",48.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2010","2010",46.7,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2011","2011",46,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","CZE","Czech Republic","2012","2012",45.4,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2000","2000",31.5,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2001","2001",32.4,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2002","2002",33.4,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2003","2003",33.7,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2004","2004",30.5,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2005","2005",31.4,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2006","2006",34.2,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2007","2007",35.4,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2008","2008",32.3,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2009","2009",35,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2010","2010",37.8,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2011","2011",39.8,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","HUN","Hungary","2012","2012",41.3,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2001","2001",32.6,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2002","2002",30,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2003","2003",29.7,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2004","2004",30.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2005","2005",32.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2006","2006",32.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2007","2007",31.1,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2008","2008",30,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2009","2009",31.3,,
"RESP_FS_TFTE_ENGTECH","Researchers (FTE) - Engineering and technology %","POL","Poland","2010","2010",33.9,,
