"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2000","2000",6.6,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2001","2001",7.1,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2002","2002",7.3,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2003","2003",8.1,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2004","2004",8.1,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2005","2005",10.3,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2006","2006",9.5,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2007","2007",9.4,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2008","2008",8.9,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2009","2009",9.6,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2010","2010",9.7,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2011","2011",8.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","CZE","Czech Republic","2012","2012",7.4,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2000","2000",11.1,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2001","2001",8.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2002","2002",9.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2003","2003",9,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2004","2004",10.5,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2005","2005",10.4,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2006","2006",10,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2007","2007",9.3,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2008","2008",8.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2009","2009",9,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2010","2010",8.5,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2011","2011",8.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","HUN","Hungary","2012","2012",8.1,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2001","2001",16.5,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2002","2002",15,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2003","2003",14.8,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2004","2004",14,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2005","2005",15,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2006","2006",15.6,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2007","2007",16.4,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2008","2008",15.3,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2009","2009",13.9,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2010","2010",14.6,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2011","2011",15,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","POL","Poland","2012","2012",13.9,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","PRT","Portugal","2000","2000",9.6,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","PRT","Portugal","2001","2001",9.5,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","PRT","Portugal","2002","2002",9.3,,
"RESP_FS_TFTE_MEDSCI","Researchers (FTE) - Medical and health sciences %","PRT","Portugal","2003","2003",9.1,,
