"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2000","2000",2.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2001","2001",2.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2002","2002",7.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2003","2003",7.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2004","2004",6.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2005","2005",8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2006","2006",7.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2007","2007",6.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2008","2008",6.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2009","2009",6.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2010","2010",6.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2011","2011",7.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","CZE","Czech Republic","2012","2012",7.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2000","2000",11,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2001","2001",12.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2002","2002",12.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2003","2003",12.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2004","2004",15.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2005","2005",14.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2006","2006",14.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2007","2007",13.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2008","2008",12.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2009","2009",11.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2010","2010",11,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2011","2011",10.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","HUN","Hungary","2012","2012",7.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2001","2001",12.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2002","2002",14,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2003","2003",15.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2004","2004",16.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2005","2005",16.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2006","2006",15.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2007","2007",16.3,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2008","2008",16.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2009","2009",17.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2010","2010",14.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2011","2011",15.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","POL","Poland","2012","2012",14.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2000","2000",16.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2001","2001",16.3,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2002","2002",16.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2003","2003",14.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2004","2004",14.3,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2005","2005",13.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2006","2006",13.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2007","2007",13.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2008","2008",18.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2009","2009",17.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2010","2010",16.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2011","2011",15.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","PRT","Portugal","2012","2012",15.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2000","2000",16.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2001","2001",15,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2002","2002",13.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2003","2003",13.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2004","2004",15.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2005","2005",14.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2006","2006",15.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2007","2007",17.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2008","2008",18.4,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2009","2009",17.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2010","2010",15.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2011","2011",15.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","SVK","Slovakia","2012","2012",14.8,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2005","2005",15,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2006","2006",14.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2007","2007",14.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2008","2008",13.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2009","2009",13.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2010","2010",13.1,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2011","2011",12.9,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","TUR","Turkey","2012","2012",12.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2000","2000",5.5,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2001","2001",7.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2002","2002",8.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2003","2003",8.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2004","2004",9.2,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2005","2005",9.3,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2006","2006",9.7,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2007","2007",10.6,,
"RESP_FS_TFTE_SOSCI","Researchers (FTE) - Social sciences %","BGR","Bulgaria","2008","2008",11.1,,
