"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2000","2000",28,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2001","2001",29,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2002","2002",32.3,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2003","2003",35.6,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2004","2004",29,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2005","2005",24.3,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2006","2006",24.3,,
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2007","2007",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","PRT","Portugal","2008","2008",,"n","Magnitude nil or negligible"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2000","2000",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2001","2001",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2002","2002",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2003","2003",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2004","2004",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2005","2005",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2006","2006",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2007","2007",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2008","2008",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","SVK","Slovakia","2009","2009",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","ALB","Albania","2008","2008",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2000","2000",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2001","2001",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2002","2002",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2003","2003",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2004","2004",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2005","2005",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2006","2006",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2007","2007",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2008","2008",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2009","2009",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2010","2010",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2011","2011",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","BGR","Bulgaria","2012","2012",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CRI","Costa Rica","2005","2005",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2002","2002",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2003","2003",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2004","2004",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2005","2005",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2006","2006",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2007","2007",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2008","2008",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2009","2009",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2010","2010",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2011","2011",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","HRV","Croatia","2012","2012",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2000","2000",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2001","2001",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2002","2002",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2003","2003",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2004","2004",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2005","2005",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2006","2006",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2007","2007",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2008","2008",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2009","2009",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2010","2010",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2011","2011",,"a","Category not applicable"
"FRESP_FS_TFTE_FONS","Female researchers as a percentage of total researchers (FTE) - Not specified fields","CYP","Cyprus","2012","2012",,"a","Category not applicable"
