"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2000","2000",7.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2001","2001",9.4,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2002","2002",5.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2003","2003",6.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2004","2004",6.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2005","2005",6.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2006","2006",6.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2007","2007",6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2008","2008",6.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2009","2009",7.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2010","2010",8.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2011","2011",5.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","CZE","Czech Republic","2012","2012",6.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2000","2000",17,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2001","2001",18.9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2002","2002",17,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2003","2003",16.4,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2004","2004",11.9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2005","2005",11.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2006","2006",11.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2007","2007",9.4,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2008","2008",9.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2009","2009",9.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2010","2010",9.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2011","2011",8.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","HUN","Hungary","2012","2012",7.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2001","2001",8.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2002","2002",10.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2003","2003",9.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2004","2004",9.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2005","2005",8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2006","2006",8.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2007","2007",8.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2008","2008",10.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2009","2009",9.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2010","2010",12.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2011","2011",11.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","POL","Poland","2012","2012",10.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2000","2000",6.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2001","2001",6.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2002","2002",6.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2003","2003",7.9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2004","2004",7.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2005","2005",7.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2006","2006",7.4,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2007","2007",7.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2008","2008",9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2009","2009",9.9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2010","2010",10.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2011","2011",8.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","PRT","Portugal","2012","2012",9.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2000","2000",4.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2001","2001",2.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2002","2002",3.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2003","2003",4.8,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2004","2004",4.9,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2005","2005",7.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2006","2006",6.1,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2007","2007",4.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2008","2008",4.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2009","2009",9.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2010","2010",11.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2011","2011",12.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","SVK","Slovakia","2012","2012",12.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2005","2005",8.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2006","2006",8.2,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2007","2007",7.3,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2008","2008",7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2009","2009",6.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2010","2010",6.6,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2011","2011",6.7,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","TUR","Turkey","2012","2012",7.5,,
"RESP_FS_TFTE_HUM","Researchers (FTE) - Humanities %","ALB","Albania","2008","2008",8.6,,
