"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2005","2005",19.49419,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2006","2006",18.2017,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2007","2007",17.86382,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2010","2010",17.25072,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2011","2011",20.31371,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BFA","Burkina Faso","2012","2012",15.89539,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ERI","Eritrea","2001","2001",5.86161,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ERI","Eritrea","2002","2002",5.63338,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ERI","Eritrea","2004","2004",5.74185,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ERI","Eritrea","2006","2006",5.16807,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2000","2000",9.44847,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2001","2001",9.82544,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2002","2002",9.50514,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2003","2003",9.64084,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2004","2004",9.38801,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2005","2005",9.01373,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2006","2006",9.52719,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2007","2007",8.80193,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2008","2008",9.20517,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2009","2009",8.86717,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2010","2010",8.72395,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ITA","Italy","2011","2011",8.43019,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2000","2000",15.34415,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2001","2001",15.54854,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2002","2002",15.43388,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2003","2003",15.14175,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2004","2004",15.48686,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2005","2005",15.77934,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2006","2006",15.51264,,
