Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Albania;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;44.3;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;44.3;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;16;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;8.5;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;31.7;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;32.4;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;2.8;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;8.6;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;48.3;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;24.6;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;53.4;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;31.5;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;56.8;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;67.5;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Researchers (FTE) - % Female;0;0;0;0;0;36.5;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;34.8;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;21.6;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;43.2;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;6.9;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;9;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;8.5;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;10.9;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;44.3;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;32.4;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;46.4;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;41.5;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;30;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;32.3;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
American Samoa;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
