"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2002","2002",15.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2004","2004",18.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2006","2006",19.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2007","2007",20.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2009","2009",22.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","AUT","Austria","2011","2011",22.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2000","2000",25.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2001","2001",25.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2002","2002",27.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2003","2003",27.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2004","2004",28.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2005","2005",29.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2006","2006",30.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2007","2007",30.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2008","2008",31.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2009","2009",31.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2010","2010",31.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","BEL","Belgium","2011","2011",31.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2000","2000",25.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2001","2001",25.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2002","2002",26.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2003","2003",26.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2004","2004",24.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2005","2005",26.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2006","2006",25.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2007","2007",25.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2008","2008",25.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2009","2009",26,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2010","2010",25.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2011","2011",25.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","CZE","Czech Republic","2012","2012",24.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2001","2001",28.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2002","2002",26.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2003","2003",27.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2005","2005",28.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2007","2007",29.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2009","2009",29.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2010","2010",31.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","DNK","Denmark","2011","2011",31.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2006","2006",31.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2007","2007",31.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2008","2008",30.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2009","2009",30.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2010","2010",30.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2011","2011",29.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","HUN","Hungary","2012","2012",28.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2001","2001",34.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2003","2003",36,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2005","2005",36.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2006","2006",36.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2007","2007",36.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2008","2008",36.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2009","2009",39.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","ISL","Iceland","2011","2011",36,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2002","2002",27.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2003","2003",28.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2004","2004",27.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2005","2005",28,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2006","2006",29.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2007","2007",30.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2008","2008",30.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2009","2009",32.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2010","2010",33,,
"FRESP_TFTE","Researchers (FTE) - % Female","IRL","Ireland","2011","2011",30.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2003","2003",37.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2004","2004",37.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2005","2005",39.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2006","2006",38.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2007","2007",39.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2008","2008",38.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2009","2009",38.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2010","2010",38.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2011","2011",38.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","POL","Poland","2012","2012",36.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2000","2000",44.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2001","2001",44.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2002","2002",45,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2003","2003",45.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2004","2004",45.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2005","2005",45.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2006","2006",44.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2007","2007",43.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2008","2008",43.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2009","2009",44.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2010","2010",43.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2011","2011",43.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","PRT","Portugal","2012","2012",44.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2000","2000",38.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2001","2001",39.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2002","2002",40.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2003","2003",41,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2004","2004",41.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2005","2005",41.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2006","2006",42.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2007","2007",41.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2008","2008",42.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2009","2009",42.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2010","2010",42,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2011","2011",42.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","SVK","Slovakia","2012","2012",41.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2001","2001",35.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2002","2002",35.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2003","2003",36.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2004","2004",37.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2005","2005",37.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2006","2006",37.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2007","2007",37.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2008","2008",38.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2009","2009",38.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2010","2010",38.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2011","2011",38.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","ESP","Spain","2012","2012",38.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","SWE","Sweden","2005","2005",29,,
"FRESP_TFTE","Researchers (FTE) - % Female","SWE","Sweden","2007","2007",29.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","SWE","Sweden","2009","2009",29.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","SWE","Sweden","2011","2011",30.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2001","2001",37.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2002","2002",34.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2003","2003",34.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2004","2004",34.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2005","2005",34.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2006","2006",34.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2007","2007",34.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2008","2008",33.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2009","2009",33.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2010","2010",32.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2011","2011",32.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","TUR","Turkey","2012","2012",32.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","ALB","Albania","2008","2008",44.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2000","2000",47.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2001","2001",47,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2002","2002",48.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2003","2003",48.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2004","2004",48.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2005","2005",48.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2006","2006",48.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2007","2007",49.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2008","2008",49.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2009","2009",50.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2010","2010",51.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2011","2011",51.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","ARG","Argentina","2012","2012",51.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2000","2000",45.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2001","2001",46.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2002","2002",47.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2003","2003",47.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2004","2004",47.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2005","2005",46.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2006","2006",45.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2007","2007",47.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2008","2008",48,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2009","2009",48.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2010","2010",50.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2011","2011",49.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","BGR","Bulgaria","2012","2012",49.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","BFA","Burkina Faso","2010","2010",21.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","COG","Congo","2000","2000",12.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","CRI","Costa Rica","2005","2005",40.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","CRI","Costa Rica","2008","2008",51.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","CRI","Costa Rica","2011","2011",45,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2000","2000",43.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2001","2001",44.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2002","2002",42.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2003","2003",47.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2004","2004",45.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2005","2005",47.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2006","2006",46.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2007","2007",47.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2008","2008",48.7,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2009","2009",48.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2010","2010",49.1,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2011","2011",49,,
"FRESP_TFTE","Researchers (FTE) - % Female","HRV","Croatia","2012","2012",49.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2000","2000",30,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2001","2001",31.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2002","2002",31.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2003","2003",32,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2004","2004",33.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2005","2005",35,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2006","2006",34,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2007","2007",34,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2008","2008",34.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2009","2009",37.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2010","2010",37.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2011","2011",37.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","CYP","Cyprus","2012","2012",37.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2000","2000",41.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2001","2001",42,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2002","2002",41.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2003","2003",42.2,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2004","2004",41.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2005","2005",39.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2006","2006",40.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2007","2007",41.5,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2008","2008",37.9,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2009","2009",41.6,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2010","2010",41.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2011","2011",41.4,,
"FRESP_TFTE","Researchers (FTE) - % Female","EST","Estonia","2012","2012",42.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","IND","India","2000","2000",12,,
"FRESP_TFTE","Researchers (FTE) - % Female","IND","India","2005","2005",14.8,,
"FRESP_TFTE","Researchers (FTE) - % Female","IND","India","2010","2010",14.3,,
"FRESP_TFTE","Researchers (FTE) - % Female","LVA","Latvia","2000","2000",49.3,,
