"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2002","2002",20.7,,
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2004","2004",23.6,,
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2006","2006",25.3,,
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2007","2007",26.4,,
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2009","2009",28.4,,
"FRESP_THC","Researchers (HC) - % Female","AUT","Austria","2011","2011",29,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2002","2002",27.7,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2003","2003",28.1,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2004","2004",28.8,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2005","2005",29.6,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2006","2006",30.7,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2007","2007",31.1,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2008","2008",32.2,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2009","2009",32.7,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2010","2010",33.2,,
"FRESP_THC","Researchers (HC) - % Female","BEL","Belgium","2011","2011",33.5,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2000","2000",27.8,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2001","2001",28.8,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2002","2002",29.5,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2003","2003",28.3,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2004","2004",28.5,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2005","2005",28.8,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2006","2006",28.5,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2007","2007",28.3,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2008","2008",28.5,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2009","2009",28.9,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2010","2010",28.1,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2011","2011",28.2,,
"FRESP_THC","Researchers (HC) - % Female","CZE","Czech Republic","2012","2012",27.5,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2001","2001",28,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2002","2002",26.2,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2003","2003",28.1,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2005","2005",29.7,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2007","2007",30.2,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2009","2009",31.7,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2010","2010",32.6,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2011","2011",33.1,,
"FRESP_THC","Researchers (HC) - % Female","DNK","Denmark","2012","2012",34.8,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2000","2000",28.5,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2001","2001",29.1,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2002","2002",29.9,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2003","2003",29.8,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2004","2004",29,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2005","2005",30.2,,
"FRESP_THC","Researchers (HC) - % Female","FIN","Finland","2006","2006",31.6,,
